id_entrevista,regiao,uf,sexo,idade,cor_raca,religiao,escolaridade,confianca_governo,confianca_judiciario,economia_12meses,voto_2t
246,Nordeste,Bahia,Feminino,35 a 44 anos,Preta,Evangélica,Fundamental,3,2,Muito pior,3
247,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Católica,Fundamental,3,4,Igual,1
248,Sul,Rio Grande Do Sul,Feminino,25 a 34 anos,Parda,Evangélica,Superior,1,2,Muito pior,2
249,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Evangélica,Fundamental,3,3,Pouco pior,4
250,Sudeste,Espírito Santo,Feminino,45 a 59 anos,Preta,Não Tem Religião,Superior,3,3,Muito pior,2
251,Sudeste,Rio De Janeiro,Masculino,35 a 44 anos,Parda,Evangélica,Superior,2,4,Pouco melhor,1
252,Norte,Pará,Masculino,45 a 59 anos,Preta,Católica,Médio,4,3,Muito pior,2
253,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Umbanda,Médio,3,2,Pouco melhor,2
254,Nordeste,Maranhão,Feminino,60 anos ou mais,Parda,Católica,Fundamental,3,4,Muito pior,2
255,Nordeste,Sergipe,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,3,Pouco melhor,2
256,Nordeste,Paraíba,Masculino,35 a 44 anos,Parda,Evangélica,Fundamental,1,3,Muito melhor,1
257,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Parda,Candomblé,Superior,3,2,Pouco melhor,3
258,Sul,Santa Catarina,Masculino,25 a 34 anos,Parda,Católica,Superior,3,3,Muito pior,2
259,Norte,Tocantins,Masculino,18 a 24 anos,Branca,Não Tem Religião,Superior,1,2,Muito pior,2
260,Sudeste,Rio De Janeiro,Feminino,45 a 59 anos,Preta,Candomblé,Médio,4,1,Pouco melhor,3
261,Nordeste,Bahia,Masculino,25 a 34 anos,Parda,Católica,Médio,3,3,Muito melhor,1
262,Sudeste,São Paulo,Feminino,60 anos ou mais,Parda,"Espírita Kardecista, Espiritualista",Superior,2,2,Pouco pior,6
263,Nordeste,Piauí,Masculino,35 a 44 anos,Preta,Católica,Fundamental,1,4,Igual,2
264,Sul,Rio Grande Do Sul,Masculino,35 a 44 anos,Branca,Não Tem Religião,Fundamental,Não sabe,4,Muito pior,2
265,Centro-Oeste,Goiás,Feminino,35 a 44 anos,Preta,Católica,Superior,1,1,Igual,1
266,Sul,Santa Catarina,Feminino,45 a 59 anos,Branca,Católica,Fundamental,2,2,Pouco melhor,Não votou
267,Sudeste,Rio De Janeiro,Feminino,45 a 59 anos,Branca,Católica,Médio,4,2,Pouco pior,2
268,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Preta,Católica,Fundamental,4,3,Pouco melhor,2
269,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Parda,Evangélica,Médio,1,3,Muito melhor,1
270,Sul,Paraná,Masculino,45 a 59 anos,Branca,Católica,Superior,3,3,Muito pior,2
271,Nordeste,Pernambuco,Feminino,25 a 34 anos,Parda,Católica,Médio,3,3,Igual,2
272,Sul,Rio Grande Do Sul,Feminino,45 a 59 anos,Branca,Não Tem Religião,Médio,4,4,Muito pior,Não votou
273,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Evangélica,Médio,3,3,Muito pior,2
274,Nordeste,Sergipe,Feminino,45 a 59 anos,Parda,Católica,Médio,1,3,Muito melhor,1
275,Sudeste,Minas Gerais,Masculino,35 a 44 anos,Parda,Evangélica,Médio,3,3,Muito melhor,1
276,Nordeste,Maranhão,Masculino,35 a 44 anos,Parda,Católica,Médio,2,1,Muito pior,2
277,Nordeste,Sergipe,Feminino,60 anos ou mais,Parda,Evangélica,Fundamental,3,3,Pouco melhor,1
278,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Evangélica,Médio,2,3,Muito melhor,1
279,Sudeste,São Paulo,Feminino,45 a 59 anos,Parda,Evangélica,Médio,3,1,Pouco melhor,1
280,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Superior,2,3,Pouco melhor,1
281,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Não Tem Religião,Superior,3,3,Pouco pior,3
282,Sudeste,Minas Gerais,Masculino,45 a 59 anos,Branca,Católica,Médio,3,3,Pouco pior,Não votou
283,Sudeste,São Paulo,Masculino,18 a 24 anos,Branca,Evangélica,Superior,2,1,Muito melhor,1
284,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Católica,Médio,2,1,Igual,6
285,Nordeste,Piauí,Masculino,18 a 24 anos,Parda,Católica,Médio,3,1,Pouco pior,2
286,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Parda,Católica,Fundamental,3,3,Pouco melhor,1
287,Sudeste,Rio De Janeiro,Feminino,60 anos ou mais,Parda,Católica,Fundamental,1,1,Muito pior,Não votou
288,Nordeste,Piauí,Masculino,45 a 59 anos,Branca,Católica,Médio,2,2,Muito melhor,1
289,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Evangélica,Médio,3,3,Pouco pior,2
290,Nordeste,Maranhão,Masculino,60 anos ou mais,Branca,Católica,Fundamental,2,3,Igual,1
291,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Evangélica,Médio,3,3,Pouco pior,2
292,Nordeste,Piauí,Feminino,60 anos ou mais,Parda,Católica,Médio,3,3,Muito pior,2
293,Sudeste,São Paulo,Masculino,25 a 34 anos,Parda,Evangélica,Médio,3,1,Muito melhor,1
294,Sudeste,São Paulo,Feminino,45 a 59 anos,Parda,"Seicho-No-Ie, Messiânica, Perfeita Liberdade",Médio,4,2,Muito pior,Não votou
295,Sul,Santa Catarina,Feminino,45 a 59 anos,Branca,Evangélica,Fundamental,3,2,Igual,1
296,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Católica,Superior,2,2,Pouco melhor,1
297,Nordeste,Ceará,Feminino,35 a 44 anos,Parda,Evangélica,Fundamental,2,2,Muito pior,2
298,Sudeste,São Paulo,Feminino,60 anos ou mais,Branca,Católica,Fundamental,1,1,Pouco pior,2
299,Sul,Rio Grande Do Sul,Masculino,45 a 59 anos,Preta,Católica,Médio,4,4,Pouco melhor,Não votou
300,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Preta,Evangélica,Médio,3,3,Pouco melhor,6
301,Sudeste,São Paulo,Masculino,25 a 34 anos,Parda,"Mórmon, Adventista, Testemunha De Jeová",Médio,2,2,Pouco melhor,Não votou
302,Nordeste,Pernambuco,Masculino,35 a 44 anos,Preta,"Espírita Kardecista, Espiritualista",Superior,4,4,Muito pior,Não votou
303,Nordeste,Ceará,Feminino,35 a 44 anos,Parda,Evangélica,Médio,1,1,Pouco melhor,1
304,Nordeste,Alagoas,Masculino,45 a 59 anos,Parda,Católica,Fundamental,3,3,Pouco melhor,2
305,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,2,2,Pouco pior,1
306,Sudeste,Minas Gerais,Masculino,35 a 44 anos,Branca,Não Respondeu,Médio,2,3,Pouco melhor,1
307,Nordeste,Ceará,Feminino,35 a 44 anos,Parda,Evangélica,Fundamental,4,4,Muito pior,2
308,Nordeste,Maranhão,Feminino,16 e 17 anos,Parda,Não Tem Religião,Médio,2,2,Pouco pior,2
309,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Branca,Católica,Fundamental,2,1,Muito pior,2
310,Nordeste,Piauí,Feminino,35 a 44 anos,Parda,Católica,Fundamental,3,3,Igual,1
311,Centro-Oeste,Goiás,Masculino,45 a 59 anos,Parda,Católica,Médio,1,4,Muito melhor,1
312,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Católica,Médio,4,4,Pouco pior,2
313,Norte,Pará,Masculino,45 a 59 anos,Parda,Católica,Fundamental,4,4,Pouco melhor,2
314,Norte,Pará,Feminino,25 a 34 anos,Parda,Católica,Médio,3,3,Muito pior,2
315,Centro-Oeste,Distrito Federal,Feminino,25 a 34 anos,Branca,Católica,Superior,4,3,Muito melhor,1
316,Nordeste,Rio Grande Do Norte,Masculino,18 a 24 anos,Parda,Não Tem Religião,Superior,3,3,Pouco pior,2
317,Sul,Santa Catarina,Masculino,60 anos ou mais,Branca,Católica,Fundamental,3,4,Muito pior,2
318,Centro-Oeste,Distrito Federal,Masculino,45 a 59 anos,Parda,Evangélica,Superior,1,4,Muito melhor,1
319,Norte,Roraima,Feminino,60 anos ou mais,Preta,Evangélica,Médio,2,Não sabe,Muito pior,2
320,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Católica,Médio,4,3,Pouco melhor,4
321,Centro-Oeste,Goiás,Feminino,45 a 59 anos,Parda,Católica,Fundamental,1,1,Pouco melhor,2
322,Sudeste,Rio De Janeiro,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,4,Pouco melhor,1
323,Nordeste,Ceará,Feminino,45 a 59 anos,Parda,Católica,Médio,2,1,Pouco pior,2
324,Norte,Roraima,Masculino,60 anos ou mais,Parda,Evangélica,Fundamental,3,3,Pouco melhor,5
325,Nordeste,Bahia,Masculino,35 a 44 anos,Preta,Católica,Fundamental,1,3,Igual,2
326,Nordeste,Alagoas,Feminino,60 anos ou mais,Parda,Católica,Fundamental,3,1,Pouco melhor,1
327,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Parda,Católica,Médio,3,Não sabe,Igual,2
328,Centro-Oeste,Mato Grosso,Feminino,45 a 59 anos,Branca,Evangélica,Médio,3,4,Pouco melhor,1
329,Sudeste,Minas Gerais,Masculino,35 a 44 anos,Branca,É Ateu/Agnóstico/ Não Acredita Em Deus,Superior,4,2,Muito pior,2
330,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,4,2,Igual,Não votou
331,Sul,Rio Grande Do Sul,Masculino,60 anos ou mais,Parda,Candomblé,Fundamental,4,4,Pouco pior,2
332,Nordeste,Bahia,Masculino,18 a 24 anos,Preta,Evangélica,Médio,1,1,Muito pior,4
333,Sul,Rio Grande Do Sul,Masculino,45 a 59 anos,Branca,Católica,Fundamental,2,1,Muito pior,Não votou
334,Sudeste,São Paulo,Feminino,60 anos ou mais,Branca,Católica,Fundamental,4,3,Pouco pior,Não votou
335,Sudeste,São Paulo,Feminino,18 a 24 anos,Branca,Umbanda,Médio,2,2,Pouco melhor,2
336,Sul,Rio Grande Do Sul,Masculino,18 a 24 anos,Parda,Evangélica,Superior,3,3,Igual,Não votou
337,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Católica,Médio,2,2,Pouco melhor,1
338,Sul,Paraná,Feminino,60 anos ou mais,Branca,Não Tem Religião,Superior,3,3,Igual,Não votou
339,Sul,Rio Grande Do Sul,Masculino,25 a 34 anos,Branca,Católica,Superior,3,2,Pouco pior,2
340,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Católica,Fundamental,4,3,Pouco pior,1
341,Sul,Paraná,Feminino,60 anos ou mais,Parda,Evangélica,Fundamental,2,1,Pouco melhor,1
342,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Evangélica,Médio,3,2,Igual,Não votou
343,Centro-Oeste,Goiás,Masculino,25 a 34 anos,Preta,Não Tem Religião,Superior,3,4,Pouco melhor,Não votou
344,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,"Espírita Kardecista, Espiritualista",Superior,1,4,Muito pior,1
345,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Católica,Médio,1,3,Muito melhor,1
346,Sul,Rio Grande Do Sul,Feminino,35 a 44 anos,Branca,Católica,Superior,2,1,Pouco pior,4
347,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Evangélica,Médio,3,3,Pouco pior,2
348,Norte,Pará,Masculino,18 a 24 anos,Parda,Católica,Médio,1,3,Igual,2
349,Nordeste,Pernambuco,Feminino,45 a 59 anos,Branca,Católica,Médio,1,1,Muito pior,2
350,Nordeste,Ceará,Feminino,35 a 44 anos,Parda,Católica,Fundamental,1,1,Igual,2
351,Centro-Oeste,Mato Grosso,Masculino,25 a 34 anos,Preta,Evangélica,Médio,4,3,Muito pior,2
352,Nordeste,Rio Grande Do Norte,Feminino,35 a 44 anos,Parda,Católica,Médio,4,4,Pouco melhor,1
353,Sudeste,São Paulo,Feminino,45 a 59 anos,Parda,Católica,Médio,2,3,Muito pior,Não votou
354,Sudeste,Minas Gerais,Feminino,18 a 24 anos,Branca,Católica,Médio,2,2,Pouco melhor,1
355,Nordeste,Alagoas,Masculino,18 a 24 anos,Parda,Umbanda,Fundamental,3,3,Pouco pior,Não votou
356,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Católica,Superior,2,2,Igual,1
357,Centro-Oeste,Mato Grosso,Feminino,45 a 59 anos,Preta,Evangélica,Fundamental,4,3,Muito pior,2
358,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,2,1,Muito pior,2
359,Sul,Rio Grande Do Sul,Masculino,25 a 34 anos,Branca,Umbanda,Superior,4,3,Muito pior,2
360,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Evangélica,Médio,3,3,Pouco melhor,6
361,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Branca,Evangélica,Superior,3,3,Pouco melhor,1
362,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Outras,Católica,Fundamental,1,Não sabe,Não sabe,Não votou
363,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Evangélica,Fundamental,2,2,Pouco melhor,1
364,Sudeste,Minas Gerais,Masculino,60 anos ou mais,Preta,Católica,Fundamental,2,2,Igual,2
365,Sul,Santa Catarina,Masculino,60 anos ou mais,Branca,Católica,Fundamental,3,3,Pouco pior,1
366,Sudeste,Rio De Janeiro,Masculino,60 anos ou mais,Branca,Católica,Médio,1,4,Muito melhor,1
367,Sul,Paraná,Feminino,60 anos ou mais,Branca,Católica,Médio,2,1,Muito pior,2
368,Nordeste,Pernambuco,Masculino,35 a 44 anos,Parda,Católica,Superior,3,3,Pouco pior,2
369,Sudeste,São Paulo,Feminino,18 a 24 anos,Preta,É Ateu/Agnóstico/ Não Acredita Em Deus,Superior,3,2,Igual,Não votou
370,Centro-Oeste,Goiás,Masculino,25 a 34 anos,Parda,Católica,Médio,1,4,Pouco melhor,1
371,Sul,Santa Catarina,Masculino,45 a 59 anos,Branca,Católica,Fundamental,3,2,Muito pior,2
372,Sudeste,São Paulo,Masculino,18 a 24 anos,Parda,Católica,Médio,4,4,Pouco melhor,1
373,Sul,Rio Grande Do Sul,Feminino,35 a 44 anos,Branca,Evangélica,Fundamental,3,2,Pouco melhor,6
374,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Branca,Católica,Médio,3,4,Pouco melhor,1
375,Sul,Rio Grande Do Sul,Masculino,45 a 59 anos,Branca,Católica,Superior,Não sabe,1,Muito pior,Não votou
376,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Evangélica,Fundamental,4,4,Muito melhor,1
377,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Católica,Médio,1,1,Igual,2
378,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Católica,Médio,2,4,Muito melhor,1
379,Sul,Santa Catarina,Feminino,45 a 59 anos,Branca,Católica,Médio,2,3,Pouco melhor,1
380,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Evangélica,Médio,3,4,Muito pior,2
381,Sul,Santa Catarina,Feminino,25 a 34 anos,Branca,Católica,Médio,2,2,Igual,Não votou
382,Nordeste,Ceará,Masculino,35 a 44 anos,Parda,Evangélica,Médio,3,4,Igual,2
383,Nordeste,Pernambuco,Feminino,45 a 59 anos,Parda,"Espírita Kardecista, Espiritualista",Superior,1,1,Muito pior,2
384,Sudeste,Minas Gerais,Masculino,35 a 44 anos,Preta,Católica,Superior,2,2,Igual,3
385,Nordeste,Ceará,Feminino,45 a 59 anos,Parda,Católica,Fundamental,3,3,Muito pior,2
386,Nordeste,Pernambuco,Masculino,25 a 34 anos,Parda,Judaica,Médio,2,2,Pouco melhor,1
387,Sul,Paraná,Masculino,18 a 24 anos,Branca,Evangélica,Médio,3,1,Muito melhor,1
388,Nordeste,Maranhão,Feminino,35 a 44 anos,Preta,Católica,Fundamental,4,4,Muito pior,2
389,Nordeste,Rio Grande Do Norte,Masculino,25 a 34 anos,Preta,Católica,Médio,1,1,Muito melhor,1
390,Sul,Paraná,Feminino,60 anos ou mais,Branca,Umbanda,Fundamental,2,1,Muito pior,Não votou
391,Norte,Amazonas,Masculino,60 anos ou mais,Parda,Católica,Fundamental,3,1,Pouco melhor,2
392,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Parda,Católica,Médio,4,2,Pouco pior,3
393,Sudeste,Rio De Janeiro,Feminino,35 a 44 anos,Preta,Evangélica,Médio,2,2,Pouco melhor,6
394,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Parda,Católica,Fundamental,3,1,Muito pior,2
395,Sul,Santa Catarina,Masculino,18 a 24 anos,Branca,Não Tem Religião,Fundamental,4,3,Muito pior,2
396,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Parda,Católica,Fundamental,1,3,Pouco pior,2
397,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,"Espírita Kardecista, Espiritualista",Superior,3,3,Pouco pior,2
398,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Católica,Fundamental,2,3,Pouco pior,2
399,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Evangélica,Médio,3,1,Pouco pior,3
400,Sul,Paraná,Feminino,35 a 44 anos,Parda,Católica,Fundamental,1,1,Pouco pior,2
401,Sul,Santa Catarina,Masculino,60 anos ou mais,Branca,Católica,Médio,1,2,Pouco melhor,1
402,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Evangélica,Superior,3,4,Pouco pior,Não votou
403,Nordeste,Ceará,Masculino,45 a 59 anos,Branca,Católica,Médio,1,4,Pouco melhor,1
404,Nordeste,Alagoas,Feminino,60 anos ou mais,Outras,Evangélica,Médio,4,2,Muito melhor,1
405,Sul,Paraná,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,1,Pouco melhor,2
406,Sul,Paraná,Feminino,45 a 59 anos,Parda,Católica,Fundamental,4,4,Muito pior,6
407,Sudeste,Minas Gerais,Feminino,18 a 24 anos,Preta,"Mórmon, Adventista, Testemunha De Jeová",Médio,3,3,Muito pior,3
408,Sudeste,São Paulo,Masculino,60 anos ou mais,Parda,Evangélica,Fundamental,1,3,Igual,Não votou
409,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Evangélica,Superior,3,4,Pouco melhor,1
410,Centro-Oeste,Distrito Federal,Feminino,35 a 44 anos,Parda,Católica,Fundamental,1,1,Muito pior,1
411,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Católica,Fundamental,1,4,Pouco melhor,1
412,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Evangélica,Superior,1,4,Muito melhor,1
413,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Preta,Católica,Superior,2,1,Pouco melhor,2
414,Nordeste,Ceará,Masculino,35 a 44 anos,Parda,Católica,Médio,4,Não sabe,Muito melhor,1
415,Norte,Amazonas,Masculino,25 a 34 anos,Preta,Católica,Superior,3,2,Muito pior,2
416,Sudeste,São Paulo,Feminino,35 a 44 anos,Outras,Não Tem Religião,Superior,3,3,Pouco melhor,2
417,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Parda,Católica,Superior,3,2,Pouco melhor,2
418,Centro-Oeste,Goiás,Masculino,25 a 34 anos,Branca,Cristão,Médio,4,4,Pouco melhor,1
419,Centro-Oeste,Goiás,Feminino,60 anos ou mais,Parda,Umbanda,Médio,3,3,Pouco pior,6
420,Nordeste,Rio Grande Do Norte,Feminino,35 a 44 anos,Parda,Católica,Fundamental,Não sabe,1,Igual,2
421,Nordeste,Bahia,Masculino,25 a 34 anos,Parda,Evangélica,Fundamental,1,3,Pouco pior,2
422,Nordeste,Piauí,Feminino,45 a 59 anos,Parda,Evangélica,Fundamental,4,1,Muito pior,1
423,Norte,Amazonas,Masculino,35 a 44 anos,Parda,Evangélica,Fundamental,1,1,Igual,1
424,Sudeste,São Paulo,Feminino,45 a 59 anos,Parda,Evangélica,Fundamental,4,4,Pouco melhor,1
425,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Evangélica,Médio,1,3,Pouco pior,1
426,Sul,Santa Catarina,Feminino,18 a 24 anos,Preta,Católica,Fundamental,4,1,Pouco pior,Não votou
427,Centro-Oeste,Distrito Federal,Feminino,16 e 17 anos,Preta,Católica,Médio,3,1,Pouco melhor,2
428,Sudeste,Rio De Janeiro,Masculino,60 anos ou mais,Preta,Umbanda,Superior,4,1,Muito pior,2
429,Nordeste,Alagoas,Masculino,35 a 44 anos,Parda,Católica,Médio,4,3,Pouco melhor,1
430,Nordeste,Pernambuco,Feminino,25 a 34 anos,Preta,Católica,Superior,3,3,Muito pior,2
431,Sul,Paraná,Feminino,35 a 44 anos,Parda,Católica,Fundamental,2,3,Igual,1
432,Sul,Rio Grande Do Sul,Masculino,35 a 44 anos,Branca,Católica,Fundamental,3,1,Pouco pior,1
433,Nordeste,Ceará,Masculino,45 a 59 anos,Branca,Católica,Fundamental,4,3,Muito pior,2
434,Sudeste,Minas Gerais,Masculino,18 a 24 anos,Parda,Católica,Médio,2,1,Pouco pior,2
435,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Parda,Evangélica,Fundamental,3,2,Pouco melhor,1
436,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,2,3,Muito melhor,1
437,Norte,Amapá,Masculino,45 a 59 anos,Branca,Católica,Fundamental,3,4,Pouco melhor,1
438,Norte,Acre,Feminino,18 a 24 anos,Parda,Evangélica,Médio,3,3,Muito melhor,1
439,Sudeste,Rio De Janeiro,Feminino,45 a 59 anos,Parda,Católica,Fundamental,4,3,Pouco pior,2
440,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Evangélica,Superior,1,4,Igual,1
441,Sul,Santa Catarina,Feminino,45 a 59 anos,Branca,Católica,Fundamental,3,4,Muito pior,2
442,Centro-Oeste,Distrito Federal,Feminino,35 a 44 anos,Preta,Católica,Fundamental,2,3,Muito pior,Não votou
443,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Católica,Médio,1,1,Pouco melhor,Não votou
444,Nordeste,Bahia,Feminino,18 a 24 anos,Parda,Evangélica,Superior,3,3,Muito pior,2
445,Sudeste,Rio De Janeiro,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,1,Muito pior,2
446,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Parda,Católica,Superior,3,2,Muito melhor,1
447,Nordeste,Maranhão,Feminino,18 a 24 anos,Parda,Não Tem Religião,Médio,4,1,Muito pior,2
448,Norte,Pará,Feminino,35 a 44 anos,Preta,Católica,Médio,2,1,Igual,2
449,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Branca,Católica,Médio,3,2,Muito pior,2
450,Centro-Oeste,Mato Grosso Do Sul,Feminino,60 anos ou mais,Branca,Católica,Médio,3,3,Pouco melhor,1
451,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Parda,Evangélica,Fundamental,3,3,Pouco pior,1
452,Sul,Paraná,Masculino,60 anos ou mais,Branca,Católica,Fundamental,2,3,Igual,1
453,Sul,Paraná,Masculino,25 a 34 anos,Branca,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,2,2,Pouco pior,2
454,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Acredita em Deus,Superior,2,3,Pouco pior,1
455,Nordeste,Pernambuco,Masculino,35 a 44 anos,Parda,Não Tem Religião,Superior,4,3,Muito pior,Não votou
456,Sudeste,São Paulo,Feminino,25 a 34 anos,Preta,Evangélica,Médio,3,3,Pouco pior,2
457,Sul,Paraná,Masculino,35 a 44 anos,Parda,Cristão,Superior,2,1,Muito pior,2
458,Nordeste,Ceará,Feminino,60 anos ou mais,Branca,Católica,Médio,4,1,Muito pior,2
459,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Parda,Não Tem Religião,Médio,3,3,Pouco pior,4
460,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Evangélica,Médio,1,4,Pouco melhor,1
461,Norte,Acre,Masculino,18 a 24 anos,Parda,Evangélica,Superior,3,1,Pouco melhor,1
462,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Branca,Católica,Médio,1,3,Muito pior,2
463,Sudeste,Espírito Santo,Masculino,18 a 24 anos,Parda,Católica,Médio,3,3,Pouco melhor,1
464,Nordeste,Pernambuco,Feminino,25 a 34 anos,Branca,Católica,Médio,2,2,Igual,2
465,Nordeste,Ceará,Feminino,18 a 24 anos,Outras,Evangélica,Médio,3,2,Igual,2
466,Centro-Oeste,Distrito Federal,Masculino,35 a 44 anos,Outras,Evangélica,Superior,2,4,Pouco melhor,1
467,Sul,Santa Catarina,Masculino,35 a 44 anos,Preta,"Espírita Kardecista, Espiritualista",Superior,4,3,Muito pior,2
468,Centro-Oeste,Mato Grosso Do Sul,Masculino,60 anos ou mais,Parda,Evangélica,Fundamental,2,1,Muito melhor,1
469,Nordeste,Rio Grande Do Norte,Masculino,18 a 24 anos,Preta,Evangélica,Médio,2,3,Pouco pior,Não votou
470,Centro-Oeste,Goiás,Feminino,18 a 24 anos,Preta,Cristão,Superior,3,3,Muito melhor,2
471,Centro-Oeste,Goiás,Feminino,35 a 44 anos,Branca,É Ateu/Agnóstico/ Não Acredita Em Deus,Superior,3,2,Igual,2
472,Sudeste,São Paulo,Feminino,45 a 59 anos,Branca,Não Tem Religião,Médio,3,3,Pouco pior,2
473,Sul,Santa Catarina,Masculino,60 anos ou mais,Branca,Católica,Fundamental,4,1,Muito pior,2
474,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Parda,Católica,Médio,3,4,Muito pior,2
475,Sudeste,Minas Gerais,Masculino,18 a 24 anos,Preta,Católica,Superior,4,3,Muito pior,2
476,Nordeste,Ceará,Feminino,18 a 24 anos,Parda,Evangélica,Médio,2,2,Pouco melhor,1
477,Sudeste,Minas Gerais,Feminino,18 a 24 anos,Branca,Evangélica,Médio,3,3,Pouco melhor,1
478,Nordeste,Rio Grande Do Norte,Masculino,18 a 24 anos,Branca,Católica,Superior,3,3,Muito pior,2
479,Sul,Santa Catarina,Feminino,25 a 34 anos,Preta,Evangélica,Fundamental,3,3,Muito pior,1
480,Nordeste,Rio Grande Do Norte,Masculino,18 a 24 anos,Branca,Católica,Superior,4,3,Não sabe,2
481,Sul,Paraná,Feminino,18 a 24 anos,Parda,Evangélica,Superior,3,3,Pouco melhor,1
482,Nordeste,Ceará,Masculino,25 a 34 anos,Parda,Católica,Superior,3,1,Muito pior,2
483,Sul,Paraná,Masculino,45 a 59 anos,Branca,Evangélica,Fundamental,3,1,Igual,1
484,Nordeste,Paraíba,Masculino,18 a 24 anos,Parda,"Mórmon, Adventista, Testemunha De Jeová",Médio,3,1,Pouco melhor,Não votou
485,Sul,Santa Catarina,Feminino,60 anos ou mais,Branca,Evangélica,Fundamental,Não sabe,Não sabe,Pouco melhor,Não votou
486,Sudeste,São Paulo,Masculino,35 a 44 anos,Preta,Evangélica,Superior,1,3,Muito melhor,1
487,Sul,Santa Catarina,Feminino,25 a 34 anos,Parda,Evangélica,Médio,3,2,Pouco melhor,1
488,Nordeste,Piauí,Feminino,18 a 24 anos,Outras,Católica,Médio,3,4,Não sabe,2
489,Nordeste,Piauí,Masculino,60 anos ou mais,Parda,Católica,Fundamental,3,3,Pouco melhor,1
490,Sudeste,São Paulo,Masculino,18 a 24 anos,Parda,Católica,Médio,4,1,Igual,1
491,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Católica,Superior,3,2,Igual,2
